t,S,N,dN/dS,dN,dS,gene1,gene2,l,node,family,alignmentcoverage,alignmentidentity,alignmentlength,strippedalignmentlength,weightoutlierincluded,weightoutlierexcluded,node_averaged_dS_outlierincluded,node_averaged_dS_outlierexcluded
11.3297,176.3,528.7,0.079,0.9647,12.2106,egu1000.fasta_00447,egu1000.fasta_00136,-1856.078903,0,GF00000002,0.18049155145929338,0.08936170212765958,3906,705,0.037037037037037035,,45.747903703703706,3.7347
50.0,171.3,533.7,0.014,0.9208,65.733,egu1000.fasta_00447,egu1000.fasta_00448,-1852.997202,0,GF00000002,0.18049155145929338,0.08936170212765958,3906,705,0.037037037037037035,,45.747903703703706,3.7347
50.0,162.8,542.2,0.0108,0.753,69.6794,egu1000.fasta_00324,egu1000.fasta_00136,-1809.337863,0,GF00000002,0.18049155145929338,0.08936170212765958,3906,705,0.037037037037037035,,45.747903703703706,3.7347
4.1694,163.6,541.4,0.1824,0.6813,3.7347,egu1000.fasta_00324,egu1000.fasta_00448,-1808.308343,0,GF00000002,0.18049155145929338,0.08936170212765958,3906,705,0.037037037037037035,1.0,45.747903703703706,3.7347
49.1642,162.9,542.1,0.0167,1.1242,67.175,egu1000.fasta_00089,egu1000.fasta_00194,-1865.529327,0,GF00000002,0.18049155145929338,0.08936170212765958,3906,705,0.037037037037037035,,45.747903703703706,3.7347
35.1106,182.7,522.3,0.0207,0.8814,42.6343,egu1000.fasta_00089,egu1000.fasta_00070,-1846.44591,0,GF00000002,0.18049155145929338,0.08936170212765958,3906,705,0.037037037037037035,,45.747903703703706,3.7347
50.0,176.7,528.3,0.0123,0.7863,64.1492,egu1000.fasta_00089,egu1000.fasta_00211,-1836.257884,0,GF00000002,0.18049155145929338,0.08936170212765958,3906,705,0.037037037037037035,,45.747903703703706,3.7347
50.0,159.7,545.3,0.0125,0.8794,70.5896,egu1000.fasta_00089,egu1000.fasta_00180,-1848.575471,0,GF00000002,0.18049155145929338,0.08936170212765958,3906,705,0.037037037037037035,,45.747903703703706,3.7347
50.0,170.4,534.6,0.0111,0.7421,66.6357,egu1000.fasta_00089,egu1000.fasta_00209,-1825.627424,0,GF00000002,0.18049155145929338,0.08936170212765958,3906,705,0.037037037037037035,,45.747903703703706,3.7347
50.0,164.2,540.8,0.014,0.9547,68.4104,egu1000.fasta_00089,egu1000.fasta_00049,-1860.198264,0,GF00000002,0.18049155145929338,0.08936170212765958,3906,705,0.037037037037037035,,45.747903703703706,3.7347
13.7691,184.1,520.9,0.0877,1.235,14.0846,egu1000.fasta_00089,egu1000.fasta_00447,-1878.947735,0,GF00000002,0.18049155145929338,0.08936170212765958,3906,705,0.037037037037037035,,45.747903703703706,3.7347
50.0,168.8,536.2,0.0119,0.7965,67.0643,egu1000.fasta_00089,egu1000.fasta_00324,-1829.785947,0,GF00000002,0.18049155145929338,0.08936170212765958,3906,705,0.037037037037037035,,45.747903703703706,3.7347
50.0,162.1,542.9,0.0109,0.7631,69.9149,egu1000.fasta_00496,egu1000.fasta_00136,-1830.881237,0,GF00000002,0.18049155145929338,0.08936170212765958,3906,705,0.037037037037037035,,45.747903703703706,3.7347
50.0,182.2,522.8,0.0114,0.714,62.4462,egu1000.fasta_00496,egu1000.fasta_00448,-1821.188202,0,GF00000002,0.18049155145929338,0.08936170212765958,3906,705,0.037037037037037035,,45.747903703703706,3.7347
50.0,171.2,533.8,0.0124,0.8207,66.0638,egu1000.fasta_00496,egu1000.fasta_00089,-1847.352991,0,GF00000002,0.18049155145929338,0.08936170212765958,3906,705,0.037037037037037035,,45.747903703703706,3.7347
50.0,174.2,530.8,0.0118,0.7662,65.1165,egu1000.fasta_00448,egu1000.fasta_00136,-1836.718701,9,GF00000002,0.18049155145929338,0.08936170212765958,3906,705,0.5,,65.8106,
50.0,170.3,534.7,0.0119,0.7921,66.5047,egu1000.fasta_00089,egu1000.fasta_00448,-1842.531752,9,GF00000002,0.18049155145929338,0.08936170212765958,3906,705,0.5,,65.8106,
50.0,170.7,534.3,0.0136,0.9,66.0351,egu1000.fasta_00211,egu1000.fasta_00194,-1831.323576,1,GF00000002,0.18049155145929338,0.08936170212765958,3906,705,0.07142857142857142,,40.81272142857143,3.6658666666666666
50.0,167.5,537.5,0.0085,0.581,68.3033,egu1000.fasta_00211,egu1000.fasta_00070,-1785.780427,1,GF00000002,0.18049155145929338,0.08936170212765958,3906,705,0.07142857142857142,,40.81272142857143,3.6658666666666666
50.0,160.2,544.8,0.0091,0.6484,71.1613,egu1000.fasta_00180,egu1000.fasta_00211,-1795.744632,1,GF00000002,0.18049155145929338,0.08936170212765958,3906,705,0.07142857142857142,,40.81272142857143,3.6658666666666666
10.1511,171.6,533.4,0.0818,0.9067,11.0804,egu1000.fasta_00209,egu1000.fasta_00194,-1833.863568,1,GF00000002,0.18049155145929338,0.08936170212765958,3906,705,0.07142857142857142,,40.81272142857143,3.6658666666666666
50.0,165.3,539.7,0.0083,0.5717,69.2083,egu1000.fasta_00209,egu1000.fasta_00070,-1774.25963,1,GF00000002,0.18049155145929338,0.08936170212765958,3906,705,0.07142857142857142,,40.81272142857143,3.6658666666666666
8.5504,162.1,542.9,0.0636,0.6499,10.2212,egu1000.fasta_00209,egu1000.fasta_00180,-1790.922594,1,GF00000002,0.18049155145929338,0.08936170212765958,3906,705,0.07142857142857142,,40.81272142857143,3.6658666666666666
4.3567,175.4,529.6,0.1954,0.7173,3.6705,egu1000.fasta_00049,egu1000.fasta_00211,-1801.826385,1,GF00000002,0.18049155145929338,0.08936170212765958,3906,705,0.07142857142857142,0.3333333333333333,40.81272142857143,3.6658666666666666
4.5443,178.6,526.4,0.1907,0.7301,3.8276,egu1000.fasta_00049,egu1000.fasta_00209,-1798.711247,1,GF00000002,0.18049155145929338,0.08936170212765958,3906,705,0.07142857142857142,0.3333333333333333,40.81272142857143,3.6658666666666666
50.0,179.5,525.5,0.0134,0.843,62.9864,egu1000.fasta_00447,egu1000.fasta_00211,-1834.961229,1,GF00000002,0.18049155145929338,0.08936170212765958,3906,705,0.07142857142857142,,40.81272142857143,3.6658666666666666
50.0,180.0,525.0,0.0145,0.9051,62.6326,egu1000.fasta_00447,egu1000.fasta_00209,-1840.041592,1,GF00000002,0.18049155145929338,0.08936170212765958,3906,705,0.07142857142857142,,40.81272142857143,3.6658666666666666
50.0,169.8,535.2,0.0099,0.6634,67.0989,egu1000.fasta_00324,egu1000.fasta_00211,-1782.93784,1,GF00000002,0.18049155145929338,0.08936170212765958,3906,705,0.07142857142857142,,40.81272142857143,3.6658666666666666
50.0,174.0,531.0,0.0098,0.6409,65.5594,egu1000.fasta_00324,egu1000.fasta_00209,-1770.630716,1,GF00000002,0.18049155145929338,0.08936170212765958,3906,705,0.07142857142857142,,40.81272142857143,3.6658666666666666
6.0275,183.8,521.2,0.0934,0.569,6.0936,egu1000.fasta_00496,egu1000.fasta_00211,-1763.129218,1,GF00000002,0.18049155145929338,0.08936170212765958,3906,705,0.07142857142857142,,40.81272142857143,3.6658666666666666
4.1299,186.6,518.4,0.175,0.6124,3.4995,egu1000.fasta_00496,egu1000.fasta_00209,-1771.306336,1,GF00000002,0.18049155145929338,0.08936170212765958,3906,705,0.07142857142857142,0.3333333333333333,40.81272142857143,3.6658666666666666
8.1431,162.4,542.6,0.1095,0.9447,8.6252,egu1000.fasta_00180,egu1000.fasta_00194,-1831.401448,4,GF00000002,0.18049155145929338,0.08936170212765958,3906,705,0.25,,38.053775,
50.0,157.4,547.6,0.0077,0.5594,72.7137,egu1000.fasta_00180,egu1000.fasta_00070,-1772.980082,4,GF00000002,0.18049155145929338,0.08936170212765958,3906,705,0.25,,38.053775,
50.0,173.1,531.9,0.0161,1.0394,64.6839,egu1000.fasta_00447,egu1000.fasta_00194,-1859.295062,4,GF00000002,0.18049155145929338,0.08936170212765958,3906,705,0.25,,38.053775,
6.3505,170.4,534.6,0.1321,0.8179,6.1923,egu1000.fasta_00447,egu1000.fasta_00070,-1833.259471,4,GF00000002,0.18049155145929338,0.08936170212765958,3906,705,0.25,,38.053775,
0.7038,182.9,522.1,0.1408,0.0908,0.645,egu1000.fasta_00209,egu1000.fasta_00211,-1349.142553,8,GF00000002,0.18049155145929338,0.08936170212765958,3906,705,1.0,1.0,0.645,0.645
7.0234,173.2,531.8,0.1762,1.0896,6.1834,egu1000.fasta_00049,egu1000.fasta_00194,-1849.295923,3,GF00000002,0.18049155145929338,0.08936170212765958,3906,705,0.125,,46.126975,4.7509
50.0,176.0,529.0,0.0106,0.6864,64.6851,egu1000.fasta_00049,egu1000.fasta_00070,-1804.703554,3,GF00000002,0.18049155145929338,0.08936170212765958,3906,705,0.125,,46.126975,4.7509
4.5812,156.9,548.1,0.1271,0.604,4.7509,egu1000.fasta_00049,egu1000.fasta_00180,-1782.020607,3,GF00000002,0.18049155145929338,0.08936170212765958,3906,705,0.125,1.0,46.126975,4.7509
50.0,171.1,533.9,0.0126,0.8298,66.0661,egu1000.fasta_00447,egu1000.fasta_00049,-1835.732639,3,GF00000002,0.18049155145929338,0.08936170212765958,3906,705,0.125,,46.126975,4.7509
18.5382,157.4,547.6,0.0363,0.8932,24.5743,egu1000.fasta_00324,egu1000.fasta_00194,-1826.545204,3,GF00000002,0.18049155145929338,0.08936170212765958,3906,705,0.125,,46.126975,4.7509
50.0,177.2,527.8,0.0093,0.6026,64.5083,egu1000.fasta_00324,egu1000.fasta_00070,-1771.29573,3,GF00000002,0.18049155145929338,0.08936170212765958,3906,705,0.125,,46.126975,4.7509
50.0,156.2,548.8,0.0096,0.6985,72.7875,egu1000.fasta_00324,egu1000.fasta_00180,-1799.834543,3,GF00000002,0.18049155145929338,0.08936170212765958,3906,705,0.125,,46.126975,4.7509
50.0,173.0,532.0,0.0123,0.8032,65.4602,egu1000.fasta_00324,egu1000.fasta_00447,-1825.070941,3,GF00000002,0.18049155145929338,0.08936170212765958,3906,705,0.125,,46.126975,4.7509
50.0,157.6,547.4,0.0121,0.8632,71.5558,egu1000.fasta_00447,egu1000.fasta_00180,-1848.238659,5,GF00000002,0.18049155145929338,0.08936170212765958,3906,705,1.0,,71.5558,
50.0,162.6,542.4,0.0092,0.6444,70.1109,egu1000.fasta_00324,egu1000.fasta_00049,-1789.044026,7,GF00000002,0.18049155145929338,0.08936170212765958,3906,705,1.0,,70.1109,
6.9673,166.6,538.4,0.0842,0.6504,7.7264,egu1000.fasta_00089,egu1000.fasta_00136,-1790.410934,10,GF00000002,0.18049155145929338,0.08936170212765958,3906,705,1.0,,7.7264,
50.0,162.4,542.6,0.013,0.9015,69.3507,egu1000.fasta_00496,egu1000.fasta_00194,-1839.241482,2,GF00000002,0.18049155145929338,0.08936170212765958,3906,705,0.16666666666666666,,57.02738333333334,4.2827
4.5763,172.8,532.2,0.1472,0.6303,4.2827,egu1000.fasta_00496,egu1000.fasta_00070,-1795.82453,2,GF00000002,0.18049155145929338,0.08936170212765958,3906,705,0.16666666666666666,1.0,57.02738333333334,4.2827
50.0,156.3,548.7,0.0078,0.5705,73.1942,egu1000.fasta_00496,egu1000.fasta_00180,-1782.342343,2,GF00000002,0.18049155145929338,0.08936170212765958,3906,705,0.16666666666666666,,57.02738333333334,4.2827
50.0,171.7,533.3,0.0094,0.6224,66.488,egu1000.fasta_00496,egu1000.fasta_00049,-1795.494436,2,GF00000002,0.18049155145929338,0.08936170212765958,3906,705,0.16666666666666666,,57.02738333333334,4.2827
50.0,179.3,525.7,0.013,0.822,63.1377,egu1000.fasta_00496,egu1000.fasta_00447,-1834.298386,2,GF00000002,0.18049155145929338,0.08936170212765958,3906,705,0.16666666666666666,,57.02738333333334,4.2827
50.0,173.9,531.1,0.0093,0.6115,65.711,egu1000.fasta_00496,egu1000.fasta_00324,-1783.352812,2,GF00000002,0.18049155145929338,0.08936170212765958,3906,705,0.16666666666666666,,57.02738333333334,4.2827
